Frame No,Count,Type1,Type2,Color1,Color2
1,1,sedan,,Silver,
2,1,sedan,,Silver,
3,1,hatchback,,Black,
4,1,sedan,,Silver,
5,1,sedan,,Silver,
6,1,sedan,,Silver,
7,1,sedan,,Black,
8,1,sedan,,Black,
9,1,sedan,,Black,
10,1,sedan,,Black,
11,1,sedan,,Black,
12,1,sedan,,Black,
13,1,sedan,,Black,
14,1,sedan,,Black,
15,1,sedan,,Black,
16,1,sedan,,Black,
17,1,sedan,,Black,
18,1,sedan,,Black,
19,1,sedan,,Black,
20,1,sedan,,Black,
21,1,sedan,,Black,
22,1,sedan,,Black,
55,1,sedan,,Black,
58,1,sedan,,Black,
59,1,sedan,,Black,
61,1,sedan,,Black,
63,2,sedan,sedan,Black,Black
64,2,sedan,sedan,Black,Black
65,2,sedan,sedan,Black,Black
66,1,sedan,,Black,
67,1,sedan,,Black,
68,1,sedan,,Black,
69,1,sedan,,Black,
70,1,sedan,,Black,
71,1,hatchback,,Black,
72,1,sedan,,Black,
73,1,sedan,,Black,
74,1,sedan,,Black,
75,1,sedan,,Black,
76,1,sedan,,Black,
77,1,sedan,,Black,
78,1,sedan,,Black,
79,1,sedan,,Black,
80,1,sedan,,Black,
89,1,sedan,,Silver,
90,1,sedan,,Silver,
91,1,sedan,,Silver,
92,1,sedan,,Silver,
93,1,sedan,,Silver,
94,1,sedan,,Silver,
95,1,sedan,,Silver,
96,1,sedan,,Silver,
97,1,sedan,,Silver,
98,2,sedan,sedan,Silver,Silver
99,1,sedan,,Silver,
100,1,sedan,,Silver,
101,1,sedan,,Silver,
102,1,sedan,,Silver,
103,1,sedan,,Silver,
104,1,hatchback,,Silver,
105,1,sedan,,Silver,
106,1,sedan,,Silver,
107,1,sedan,,Silver,
108,1,sedan,,Silver,
109,1,sedan,,Silver,
110,1,sedan,,Silver,
111,1,sedan,,Silver,
112,1,sedan,,Silver,
113,1,sedan,,Silver,
130,1,sedan,,Silver,
131,1,sedan,,Silver,
137,1,sedan,,Silver,
138,1,sedan,,Silver,
139,1,sedan,,Black,
140,1,sedan,,Black,
141,1,sedan,,Black,
142,2,sedan,,Black,Black
143,2,sedan,sedan,Black,Black
144,2,sedan,sedan,Black,Black
145,1,sedan,,Black,
146,2,sedan,sedan,Black,Black
147,2,sedan,sedan,Black,Black
148,1,sedan,,Black,
149,1,sedan,,Black,
150,1,sedan,,Black,
151,1,hatchback,,Black,
152,1,hatchback,,Black,
153,1,sedan,,Black,
154,1,hatchback,,Black,
155,1,sedan,,Black,
156,1,sedan,,Black,
157,1,hatchback,,Black,
158,1,sedan,,Black,
159,1,sedan,,Black,
160,1,sedan,,Black,
161,1,sedan,,Black,
162,1,sedan,,Black,
403,1,sedan,,Silver,
404,1,sedan,,Silver,
405,1,sedan,,Silver,
406,1,sedan,,Silver,
407,1,sedan,,Silver,
408,1,sedan,,Silver,
409,1,sedan,,Silver,
410,1,sedan,,Silver,
431,1,sedan,,Silver,
496,1,sedan,,Silver,
497,1,sedan,,Silver,
498,1,sedan,,Silver,
499,1,sedan,,Silver,
500,1,sedan,,Silver,
501,1,sedan,,Silver,
502,1,sedan,,Silver,
503,1,sedan,,Silver,
504,2,hatchback,,Silver,Silver
505,1,sedan,,Silver,
506,2,sedan,sedan,Silver,Silver
507,1,hatchback,,Silver,
508,1,sedan,,Silver,
509,1,sedan,,Silver,
510,1,sedan,,Silver,
511,1,hatchback,,Silver,
512,1,hatchback,,Silver,
513,1,sedan,,Silver,
514,1,sedan,,Silver,
515,1,hatchback,,Silver,
516,1,sedan,,Silver,
517,1,sedan,,Silver,
518,1,sedan,,Silver,
519,1,sedan,,Silver,
520,1,sedan,,Silver,
521,1,sedan,,Silver,
522,1,sedan,,Silver,
575,1,sedan,,Silver,
576,1,sedan,,Silver,
577,1,sedan,,Silver,
578,1,sedan,,Silver,
581,1,sedan,,Silver,
582,1,sedan,,Silver,
583,1,sedan,,Silver,
585,1,sedan,,Silver,
586,1,sedan,,Silver,
587,1,sedan,,Silver,
588,1,sedan,,Silver,
589,1,sedan,,Silver,
590,1,sedan,,Silver,
591,1,sedan,,Silver,
592,1,sedan,,Silver,
593,1,sedan,,Silver,
594,1,sedan,,Silver,
595,1,sedan,,Silver,
596,1,sedan,,Silver,
597,1,sedan,,Silver,
598,1,sedan,,Silver,
599,1,sedan,,Silver,
600,1,sedan,,Silver,
601,1,sedan,,Silver,
651,1,sedan,,Black,
652,1,sedan,,Black,
653,1,sedan,,Black,
654,1,sedan,,Black,
655,1,sedan,,Black,
656,1,sedan,,Black,
657,1,sedan,,Black,
658,1,sedan,,Black,
659,2,sedan,sedan,Black,Black
660,1,sedan,,Black,
661,1,sedan,,Black,
662,1,sedan,,Black,
663,1,sedan,,Black,
664,1,sedan,,Black,
665,1,sedan,,Black,
666,1,sedan,,Black,
667,1,sedan,,Black,
668,1,sedan,,Black,
669,1,sedan,,Black,
670,1,sedan,,Black,
671,1,sedan,,Black,
672,1,hatchback,,Black,
673,1,hatchback,,Black,
674,1,sedan,,Black,
675,1,sedan,,Black,
676,1,sedan,,Black,
677,1,sedan,,Black,
678,1,sedan,,Black,
679,1,sedan,,Black,
801,1,sedan,,Silver,
802,1,sedan,,Silver,
803,1,sedan,,Silver,
804,1,sedan,,Silver,
805,1,sedan,,Silver,
806,1,sedan,,Silver,
807,2,sedan,,Silver,Silver
808,2,sedan,sedan,Silver,Silver
809,2,sedan,sedan,Silver,Silver
810,2,sedan,,Silver,Silver
811,2,sedan,sedan,Silver,Silver
812,2,sedan,sedan,Silver,Silver
813,2,sedan,sedan,Silver,Silver
814,1,sedan,,Silver,
815,1,sedan,,Silver,
816,1,sedan,,Silver,
817,1,sedan,,Silver,
818,1,sedan,,Silver,
819,1,sedan,,Silver,
820,1,hatchback,,Silver,
821,1,sedan,,Silver,
822,1,sedan,,Silver,
823,1,sedan,,Silver,
824,1,sedan,,Silver,
825,1,sedan,,Silver,
842,1,sedan,,Black,
843,1,sedan,,Black,
844,1,sedan,,Black,
848,1,sedan,,Black,
852,1,sedan,,Black,
854,1,sedan,,Black,
855,1,sedan,,Black,
856,1,sedan,,Silver,
858,1,sedan,,Black,
859,1,sedan,,Black,
873,1,sedan,,Silver,
879,1,sedan,,Silver,
880,1,sedan,,Silver,
881,1,sedan,,Silver,
882,1,sedan,,Silver,
883,1,sedan,,Silver,
884,1,sedan,,Silver,
885,1,sedan,,Silver,
886,1,sedan,,Silver,
887,1,sedan,,Silver,
888,1,sedan,,Silver,
889,1,sedan,,Silver,
890,1,sedan,,Silver,
891,1,sedan,,Silver,
892,1,sedan,,Silver,
893,1,sedan,,Silver,
894,1,sedan,,Silver,
895,1,sedan,,Silver,
896,1,sedan,,Silver,
897,1,sedan,,Silver,
898,1,sedan,,Silver,
899,1,sedan,,Silver,
934,1,sedan,,Silver,
935,1,sedan,,Silver,
936,1,sedan,,Silver,
937,1,hatchback,,Black,
938,1,hatchback,,Black,
939,1,sedan,,Silver,
940,2,sedan,sedan,Silver,
941,2,sedan,sedan,Black,Black
942,2,sedan,sedan,Black,Black
943,1,sedan,,Black,
944,1,sedan,,Black,
945,1,sedan,,Black,
946,1,sedan,,Silver,
947,1,sedan,,Silver,
948,1,sedan,,Silver,
949,1,sedan,,Black,
950,1,sedan,,Silver,
951,1,sedan,,Black,
952,1,hatchback,,Black,
953,1,sedan,,Black,
954,2,sedan,,Black,
955,1,sedan,,Black,
956,1,sedan,,Black,
957,2,sedan,sedan,Silver,
958,1,sedan,,Silver,
959,1,sedan,,Silver,
960,1,hatchback,,Silver,
961,1,sedan,,Silver,
962,1,sedan,,Silver,
963,1,sedan,,Silver,
1041,1,sedan,,Black,
1042,1,sedan,,Black,
1043,1,sedan,,Black,
1044,1,sedan,,Black,
1045,1,sedan,,Black,
1046,1,sedan,,Black,
1047,1,sedan,,Black,
1048,1,sedan,,Black,
1049,1,sedan,,Black,
1050,1,sedan,,Black,
1051,1,sedan,,Black,
1052,1,sedan,,Black,
1053,1,sedan,,Black,
1054,1,sedan,,Black,
1055,1,sedan,,Black,
1056,1,sedan,,Black,
1057,1,sedan,,Black,
1058,1,sedan,,Black,
1059,1,hatchback,,Black,
1060,1,sedan,,Black,
1061,1,sedan,,Black,
1062,1,sedan,,Black,
1063,1,sedan,,Black,
1064,1,sedan,,Black,
1065,1,hatchback,,Black,
1066,1,sedan,,Black,
1115,1,sedan,,Silver,
1116,1,sedan,,Silver,
1117,1,sedan,,Silver,
1118,1,sedan,,Black,
1119,1,sedan,,Black,
1120,2,hatchback,hatchback,Silver,
1121,2,sedan,sedan,Black,Black
1122,2,sedan,sedan,Black,Black
1123,1,hatchback,,Black,
1124,1,sedan,,Black,
1125,1,sedan,,Black,
1126,1,hatchback,,Black,
1127,1,sedan,,Black,
1128,1,sedan,,Black,
1129,1,hatchback,,Black,
1130,1,sedan,,Black,
1131,1,hatchback,,Black,
1132,1,sedan,,Black,
1133,1,sedan,,Black,
1134,1,sedan,,Black,
1135,1,sedan,,Black,
1136,1,sedan,,Black,
1137,1,sedan,,Silver,
1436,1,sedan,,Silver,
1437,1,sedan,,Silver,
1438,1,sedan,,Silver,
1440,1,sedan,,Black,
1441,1,sedan,,Black,
1442,2,sedan,sedan,Black,Black
1443,1,sedan,,Black,
1444,1,sedan,,Black,
1445,1,sedan,,Black,
1446,1,sedan,,Black,
1447,1,sedan,,Black,
1448,1,sedan,,Black,
1449,1,sedan,,Black,
1450,1,sedan,,Black,
1451,1,sedan,,Black,
1452,1,hatchback,,Black,
1453,1,sedan,,Black,
1454,1,sedan,,Black,
1456,1,sedan,,Black,
1457,1,sedan,,Black,
1458,1,sedan,,Black,
1484,1,sedan,,Silver,
